id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
live-from-the-nypl-gloria-steinem--roberta-kaplan,LIVE from the NYPL: Gloria Steinem & Roberta Kaplan,,http://www.nypl.org/audiovideo/gloria-steinem-roberta-kaplan?nref=90281,audio/live-from-the-nypl-gloria-steinem--roberta-kaplan.mp3,transcripts/text/live-from-the-nypl-gloria-steinem--roberta-kaplan.text,transcripts/vtt/live-from-the-nypl-gloria-steinem--roberta-kaplan.vtt,transcripts/json/live-from-the-nypl-gloria-steinem--roberta-kaplan.json
live-from-the-nypl-rosanne-cash--paul-holdengrber,LIVE from the NYPL: Rosanne Cash & Paul Holdengräber,,http://www.nypl.org/audiovideo/rosanne-cash-paul-holdengr%C3%A4ber,audio/live-from-the-nypl-rosanne-cash--paul-holdengrber.mp3,transcripts/text/live-from-the-nypl-rosanne-cash--paul-holdengrber.text,transcripts/vtt/live-from-the-nypl-rosanne-cash--paul-holdengrber.vtt,transcripts/json/live-from-the-nypl-rosanne-cash--paul-holdengrber.json
live-from-the-nypl-maya-lin--paul-holdengrber,LIVE from the NYPL: Maya Lin & Paul Holdengräber,,http://www.nypl.org/audiovideo/maya-lin-paul-holdengr%C3%A4ber,audio/live-from-the-nypl-maya-lin--paul-holdengrber.mp3,transcripts/text/live-from-the-nypl-maya-lin--paul-holdengrber.text,transcripts/vtt/live-from-the-nypl-maya-lin--paul-holdengrber.vtt,transcripts/json/live-from-the-nypl-maya-lin--paul-holdengrber.json
live-from-the-nypl-marylouise-parker--mary-karr,LIVE from the NYPL: Mary-Louise Parker & Mary Karr,,http://www.nypl.org/audiovideo/mary-louise-parker-mary-karr,audio/live-from-the-nypl-marylouise-parker--mary-karr.mp3,transcripts/text/live-from-the-nypl-marylouise-parker--mary-karr.text,transcripts/vtt/live-from-the-nypl-marylouise-parker--mary-karr.vtt,transcripts/json/live-from-the-nypl-marylouise-parker--mary-karr.json
live-from-the-nypl-elizabeth-alexander--hilton-als,LIVE from the NYPL: Elizabeth Alexander & Hilton Als,,http://www.nypl.org/audiovideo/elizabeth-alexander-hilton-als?nref=90281,audio/live-from-the-nypl-elizabeth-alexander--hilton-als.mp3,transcripts/text/live-from-the-nypl-elizabeth-alexander--hilton-als.text,transcripts/vtt/live-from-the-nypl-elizabeth-alexander--hilton-als.vtt,transcripts/json/live-from-the-nypl-elizabeth-alexander--hilton-als.json
live-from-the-nypl-jhumpa-lahiri--paul-holdengrber,LIVE from the NYPL: Jhumpa Lahiri & Paul Holdengräber,,http://www.nypl.org/events/programs/2016/03/04/jhumpa-lahiri-paul-holdengr%C3%A4ber?nref=121031,audio/live-from-the-nypl-jhumpa-lahiri--paul-holdengrber.mp3,transcripts/text/live-from-the-nypl-jhumpa-lahiri--paul-holdengrber.text,transcripts/vtt/live-from-the-nypl-jhumpa-lahiri--paul-holdengrber.vtt,transcripts/json/live-from-the-nypl-jhumpa-lahiri--paul-holdengrber.json
